Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Steny Hoyer,Democratic,"109,929","84,616","58,234",0,252779,66.47%
Michelle Talkington,Republican,"58,184","52,574","15,867",0,126625,33.30%
Other Write-Ins,,304,380,179,0,863,0.23%
