Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Kweisi Mfume,Democratic,"61,585","90,981","50,413",0,202979,79.50%
Scott M. Collier,Republican,"14,089","25,736","5,975",0,45800,17.94%
Ronald M. Owens-Bey,Libertarian,"1,345","3,820",810,0,5975,2.34%
Other Write-Ins,,135,329,101,0,565,0.22%
