Question 1,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
For the Constitutional Amendment,"675,582","800,129","465,081",0,1940792,74.94%
Against the Constitutional Amendment,"276,963","296,716","75,426",0,649105,25.06%
