Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
April McClain Delaney,Democratic,"54,987","74,341","55,750",0,185078,52.19%
Neil C. Parrott,Republican,"60,907","87,143","20,702",0,168752,47.59%
Other Write-Ins,,180,435,161,0,776,0.22%
