Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Sarah Elfreth,Democratic,"73,448","76,278","72,247",0,221973,58.81%
Robert J. Steinberger,Republican,"54,005","68,701","22,269",0,144975,38.41%
Miguel Barajas,Libertarian,"2,461","5,849","1,366",0,9676,2.56%
Other Write-Ins,,229,385,175,0,789,0.21%
