Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
"Blane H. Miller, III",Democratic,"50,479","53,676","39,264",0,143419,36.54%
Andy Harris,Republican,"96,505","115,270","24,833",0,236608,60.28%
Joshua W. O'Brien,Libertarian,"3,479","7,104","1,310",0,11893,3.03%
Other Write-Ins,,189,308,118,0,615,0.16%
