Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Glenn F. Ivey,Democratic,"86,539","78,461","36,739",0,201739,88.23%
George McDermott,Republican,"8,815","14,755","2,621",0,26191,11.45%
Other Write-Ins,,221,365,137,0,723,0.32%
